pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_NEUTROPHIL_DEGRANULATION,1.89417812966351e-36,3.73910762795577e-33,1.56979165706381,0.577744444677312,2.66310974387097,443,S100A12 SLPI CLEC4D CXCR1 MMP9 VNN1 DSP FCGR3B S100A9 CLEC12A CXCR2 S100A8 FOLR3 TLR2 RNASE2 PPBP SERPINA1 FCGR2A CEACAM3 PLAC8 CD177 C3AR1 FCAR LYZ S100A7 FPR1 CR1 PTPRC ANXA2 FGL2 FCER1G CXCL1 LRG1 SLC11A1 C5AR1 MMP8 FPR2 SELL RNASE3 CD14 HSPA6 FCN1 CLEC5A ANPEP BPI S100P LAIR1 LILRA3 VAMP8 CTSS HK3 S100A11 IQGAP2 ITGB2 LCN2 SLC2A5 TYROBP LILRB2 CYBB MGAM SIGLEC14 LILRB3 PYGL FGR SERPINA3 CD33 SIGLEC9 DOCK2 HSPA1A PSMA2 TNFRSF1B C3 ARG1 ABCA13 STOM CYBA CD93 CD58 CD300A METTL7A CDA HP NCKAP1L B4GALT1 ITGAM CTSC PLAUR PNP ATP8B4 HVCN1 ANO6 PYCARD GPR84 TTR TCIRG1 PTPN6 HSPA1B CMTM6 PTAFR CFD CNN2 TNFAIP6 GSDMD MGST1 RNASET2 SNAP23 GMFG CD53 PRCP SERPINB1 ITGAV ITGAL MNDA MME CD44 BST1 HEBP2 CAT ORM2 NPC2 CPNE3 LGALS3 ALOX5 IQGAP1 OLFM4 RAB27A CHI3L1
REACTOME_SIGNALING_BY_INTERLEUKINS,4.42953566342126e-30,4.37195169979679e-27,1.42456271623384,0.561119241730182,2.57477973276241,405,IL1R2 S100A12 MMP9 IL18 F13A1 COL1A2 FCER2 IGHG1 FPR1 CCR2 CD86 ANXA2 CXCL1 LBP IL17RB GATA3 LCP1 CCL20 IGHG4 EBI3 VCAM1 IL9 IL18R1 SOCS3 IL18RAP TSLP SYK IL2RG IL1RN CEBPD CCR1 IRAK3 TWIST1 CASP1 ITGB2 LCN2 BATF MAP3K8 CCR5 HCK NFKBIA CSF1R IL7R HGF TIMP1 BCL6 IL1RL1 VIM FGF2 IL1R1 NOD2 OSMR PSMA2 FASLG TNFRSF1B CD4 IL4R IL6 LCK CSF2RB FOXO1 TNFRSF1A TEC ITGAM CSF3R TGFB1 CCL2 IL13RA1 MUC1 LIFR MYC SOX2 INPP5D PTPN13 IL10 CSF1 CXCL2 HAVCR2 CSF3 PTPN6 STXBP2 ANXA1 PTAFR NFKB2 CNN2 IL10RA IRF4 HMOX1 GSDMD ICAM1 BLNK IL15 CISH YES1 CDKN1A FOS ATF1 BCL2 TAB2 RELA IL1B PPP2R1B S1PR1 LGALS9 STAT5A LIF IL27 OSM ALOX5 PIM1 LYN MYD88 IL6R IL24 MMP2 VEGFA CTF1 MCL1 JUNB IL12A IL15RA CD80 IL20RA PIK3R2 ELK1 CLCF1 ITGB1 VAV1 PTPRZ1 CCL5 RORA MAOA INPPL1 RAP1B MAPKAPK2 IL21R RIPK2 MSN HNRNPF CCL19 HIF1A IL6ST PELI2
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,2.43927266158722e-26,1.60504141132439e-23,1.33449749081658,0.657702726484762,2.79572414300074,198,IL1R2 CXCR1 TNFRSF11B CXCR2 CXCL6 IL18 CCL26 PPBP CCR9 CCR2 CXCR4 CXCL1 LEPR IL17RB TNFRSF10D PF4 CCL20 IL9 IL18R1 IL18RAP TSLP IL2RG KDR CXCL5 CCR1 CCR5 CSF1R IL7R HGF IL1R1 OSMR FASLG TNFRSF1B CXCL3 LTA EGFR IL4R IL6 CSF2RB CXCL13 CCL17 TNFRSF10C TNFRSF1A TNFSF8 IFNA2 TGFB2 CSF3R TGFB1 BMPR1B CCL2 TNFSF14 IL13RA1 TNFRSF12A LIFR IL10 CSF1 CXCL2 CSF3 TGFBR2 IL10RA PRLR NGFR CXCL16 IL15 FLT1 PDGFRB TNFRSF10B XCL1 BMPR1A TNFRSF8 LTBR IFNGR1 FAS ACVRL1 INHBE CXCR6 TNFRSF10A IL1B CD40 LIF INHBB OSM FLT3LG EPOR IL6R EDA TGFBR1 IL24 VEGFA CTF1 IL12A IL15RA EDA2R IL20RA
WP_BURN_WOUND_HEALING,3.52317784541567e-21,1.73868826671263e-18,1.18665095279281,0.74521448951313,2.8646661638441,96,MMP9 HOTAIR TLR8 S100A9 CXCR2 F13A1 TLR2 COL1A2 CXCR4 CXCL1 COL1A1 DCN TLR5 KDR TLR7 SFRP2 S100A11 TLR6 TNFAIP3 MIR29A NFKBIA LY96 HGF SCEL TIMP1 TLR1 VIM NOD2 TLR4 KLF4 IL6 NFKBIZ IFNA2 SERPINH1 TGFB2 ADAM12 TGFB1 CCL2 SPARC CNN2 ICAM1 IL15 PDGFRB FGFR4 BCL2 CD3E SNAI2 IL1B TLR3
WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA,1.15403494965745e-18,4.55612998124759e-16,1.11466447751729,0.811018810079314,2.867740734765,59,IL18 RGS1 RNASE6 RBM47 HCLS1 C1QC SLC1A5 NCF2 ITGB2 SAMSN1 TYROBP ZFP36L2 TNFRSF1B CD84 ABCC4 CD4 C3 LHFPL2 CD37 PLEK SLC7A7 ELF4 NCKAP1L ITGAM IL13RA1 MAF GIMAP2 TMEM106A PYCARD TCIRG1 GAPT IL10RA CYTL1 IGSF6 CXCL16 RUNX3 SPP1 NPC2 STAT5A APBB1IP PPP1R18 HLX TGFBR1 CAPG BIN2 DPYD ADAP2
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,1.15692009949558e-17,3.80626712734047e-15,1.0864405425825,0.702605528034266,2.72842988510265,102,MMP9 IL18 F13A1 COL1A2 FCER2 IGHG1 LBP GATA3 IGHG4 VCAM1 SOCS3 IL2RG CEBPD TWIST1 ITGB2 LCN2 BATF HGF TIMP1 BCL6 VIM FGF2 FASLG TNFRSF1B IL4R IL6 FOXO1 ITGAM TGFB1 CCL2 IL13RA1 MUC1 MYC SOX2 IL10 ANXA1 IRF4 HMOX1 ICAM1 CDKN1A FOS BCL2 IL1B S1PR1 LIF OSM ALOX5 PIM1 IL6R MMP2 VEGFA MCL1 JUNB IL12A ITGB1 RORA MAOA
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,1.45111296418523e-17,4.09213855900235e-15,1.07686819261983,0.686391475366829,2.70545903223016,112,LILRA5 FCGR2B COL1A2 COL2A1 COL1A1 SLAMF6 SELL CLEC2B LILRB5 VCAM1 IGLC3 FCGR1A LAIR1 CD300LB LILRA3 FCGR3A TREM1 ITGB2 SIGLEC8 SIGLEC7 IGLC2 TYROBP LILRB2 LILRB3 LILRA2 CD33 SIGLEC9 LILRA6 SIGLEC1 IFITM1 C3 SIGLEC10 HCST MICB CD300A COL3A1 ICAM2 CD3G CD300E LILRB1 TREM2 ICAM1 KLRD1 CD300C KLRK1 CD34 ITGAL CD3E SLAMF7 CLEC2D CD40 LAIR2 RAET1E CDH1 CD96 CD19 LILRA4 LILRA1 HLA-E ITGB1 SH2D1A CD1D B2M LILRB4
WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING_PATHWAY,3.82986219049833e-16,9.45018495505462e-14,1.03769615548758,0.570230490102031,2.42390229515086,198,IL1R2 CXCR1 CXCR2 CXCL6 CD163 IL18 CCL26 CFH SERPINA5 DDIT4 CXCL1 LRG1 LBP PF4 CCL20 CD14 HLA-DRA IL9 IL18RAP CASP5 CXCL5 CCR5 HLA-DRB1 CFI FGF2 CD2 CXCL3 CD4 IFITM1 IL6 LCK APOL1 CXCL13 IFITM3 C1R HP C1S CCL2 IGLL1 APOD CD3G IL10 DUSP1 CXCL2 HLA-DRB5 PTPN6 TGFBR2 NFKB2 IGFBP3 CXCL16 CASP8 FOS CEBPB CD3E IL1B CFB SMAD5 TP53I3 MYD88 STEAP3 JUNB IL12A FAM83A MMP25 RRM2 EIF4EBP1 CCL5
KEGG_LEISHMANIA_INFECTION,1.94859741745958e-14,4.27392366896134e-12,0.97599468306432,0.730304587826645,2.66110182055449,68,FCGR3B TLR2 FCGR2A FCGR2C HLA-DQA1 CR1 HLA-DRA FCGR1A HLA-DMB FCGR3A NCF2 NCF4 ITGB2 NFKBIA HLA-DRB1 HLA-DQB1 TLR4 C3 CYBA HLA-DPA1 TGFB2 ITGAM TGFB1 IL10 NCF1 HLA-DRB5 PTPN6 HLA-DPB1 HLA-DMA FOS TAB2 IFNGR1 RELA IL1B HLA-DOA MYD88 IL12A ELK1 ITGB1
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,4.52806406093372e-14,8.93839845628317e-12,0.965327754226083,0.627325007391479,2.51945018316487,124,CEACAM3 COL1A2 CD177 IGHA1 FCER1G COL1A1 TNFRSF10D PF4 SELL ANGPT2 IGLC3 TREM1 CD48 ITGB2 IGLC2 ANGPT1 GYPC DOK2 IGHM CD84 CD2 MERTK SLC16A1 SLC7A7 LCK SDC2 CD58 SLC7A11 ITGAM TGFB1 SPN IGLL1 GYPA CD74 INPP5D PROS1 PTPN6 SLC7A9 ITGA5 GRB14 YES1 TNFRSF10B ITGAV ITGAL SELPLG SIRPG CD44 TNFRSF10A CAV1 LYN SLC16A3 ITGA6 SELE VPREB3 PIK3R2 ITGB1 SDC4 APOB SLC3A2 JAM2
